Date,HomeTeam,AwayTeam,B365H,B365D,B365A,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA,HTHG,HTAG,HTR,HF,AF,HY,AY,HR,AR,Time,FTR,Season
2022-10-08,Bologna,Sampdoria,2.05,3.5,3.6,1.98,1.92,-0.5,2.07,1.83,1,0,H,17,21,2,3,0,0,19:45,D,2022/2023
2022-10-09,Torino,Empoli,1.72,3.6,5.0,2.0,1.8,-0.75,2.0,1.9,0,0,D,15,9,2,4,0,0,11:30,D,2022/2023
2022-10-09,Monza,Spezia,1.9,3.6,4.0,2.03,1.87,-0.5,1.91,1.99,1,0,H,10,20,3,2,0,0,14:00,H,2022/2023
2022-10-09,Salernitana,Verona,2.4,3.4,2.87,1.86,2.04,0.0,1.75,2.05,1,0,H,9,15,3,3,1,1,14:00,H,2022/2023
2022-10-09,Udinese,Atalanta,2.5,3.4,2.75,1.88,2.02,0.0,1.86,2.04,0,1,A,11,12,2,3,0,0,14:00,D,2022/2023
2022-10-09,Cremonese,Napoli,7.0,4.5,1.45,1.66,2.2,1.25,1.87,2.03,0,1,A,18,6,2,0,0,0,17:00,A,2022/2023
2022-10-09,Roma,Lecce,1.33,5.25,8.5,1.84,2.06,-1.25,1.83,2.07,1,1,D,12,11,2,2,0,1,19:45,H,2022/2023
2022-10-10,Fiorentina,Lazio,2.4,3.5,2.8,1.91,1.99,0.0,1.79,2.11,0,2,A,17,9,4,1,0,0,19:45,A,2022/2023
2022-10-15,Empoli,Monza,2.55,3.3,2.8,1.99,1.91,0.0,1.83,2.07,1,0,H,17,14,5,3,0,1,14:00,H,2022/2023
2022-10-15,Torino,Juventus,3.0,3.1,2.5,2.3,1.61,0.25,1.73,2.08,0,0,D,11,8,2,0,0,0,17:00,A,2022/2023
2022-10-15,Atalanta,Sassuolo,1.65,4.0,5.0,1.66,2.2,-0.75,1.85,2.05,1,1,D,10,8,1,4,0,0,19:45,H,2022/2023
2022-10-16,Inter,Salernitana,1.3,5.75,9.0,1.5,2.62,-1.5,1.77,2.02,1,0,H,12,14,0,1,0,0,11:30,H,2022/2023
2022-10-16,Lazio,Udinese,2.2,3.5,3.25,1.66,2.2,-0.25,1.89,2.01,0,0,D,8,11,1,4,0,0,14:00,D,2022/2023
2022-10-16,Spezia,Cremonese,2.45,3.2,3.1,2.04,1.86,-0.25,2.1,1.8,2,1,H,12,11,2,0,0,0,14:00,D,2022/2023
2022-10-16,Napoli,Bologna,1.25,6.0,11.0,1.53,2.5,-1.75,2.0,1.9,1,1,D,6,10,0,4,0,0,17:00,H,2022/2023
2022-10-16,Verona,Milan,6.0,4.0,1.57,1.8,2.0,1.0,1.92,1.98,1,1,D,7,9,3,2,0,0,19:45,A,2022/2023
2022-10-17,Sampdoria,Roma,4.75,3.75,1.72,1.99,1.91,0.75,1.92,1.98,0,1,A,20,20,5,3,0,0,17:30,A,2022/2023
2022-10-17,Lecce,Fiorentina,3.75,3.4,2.05,2.1,1.72,0.5,1.83,2.07,1,0,H,15,16,5,5,1,0,19:45,D,2022/2023
2022-10-21,Juventus,Empoli,1.4,5.0,7.0,1.66,2.2,-1.25,1.89,2.01,1,0,H,13,11,2,2,0,0,19:45,H,2022/2023
2022-10-22,Salernitana,Spezia,2.0,3.5,3.8,2.0,1.9,-0.5,2.02,1.88,0,0,D,9,8,2,4,0,0,14:00,H,2022/2023
2022-10-22,Milan,Monza,1.4,5.0,7.5,1.66,2.2,-1.25,1.9,2.0,2,0,H,18,9,1,1,0,0,17:00,H,2022/2023
2022-10-22,Fiorentina,Inter,3.6,3.5,2.05,1.8,2.0,0.5,1.84,2.06,1,2,A,15,14,4,3,0,0,19:45,A,2022/2023
2022-10-23,Udinese,Torino,2.0,3.3,4.0,2.06,1.84,-0.5,2.03,1.87,1,1,D,12,15,3,4,0,0,11:30,A,2022/2023
2022-10-23,Bologna,Lecce,2.15,3.2,3.75,2.2,1.66,-0.25,1.86,2.04,2,0,H,11,14,5,2,0,0,14:00,H,2022/2023
2022-10-23,Atalanta,Lazio,1.95,3.5,4.0,1.72,2.1,-0.5,1.99,1.91,0,1,A,15,9,4,2,1,0,17:00,A,2022/2023
2022-10-23,Roma,Napoli,2.87,3.5,2.4,1.8,2.0,0.25,1.8,2.1,0,0,D,14,12,3,4,0,0,19:45,A,2022/2023
2022-10-24,Cremonese,Sampdoria,2.4,3.3,3.0,1.97,1.93,-0.25,2.1,1.8,0,0,D,16,15,3,4,0,0,17:30,A,2022/2023
2022-10-24,Sassuolo,Verona,1.95,3.5,4.0,1.72,2.1,-0.5,1.95,1.95,1,1,D,7,19,1,3,0,0,19:45,H,2022/2023
2022-10-29,Napoli,Sassuolo,1.28,6.0,8.5,1.44,2.75,-1.75,2.04,1.86,3,0,H,5,6,0,3,0,1,14:00,H,2022/2023
2022-10-29,Lecce,Juventus,4.33,3.3,1.9,2.2,1.66,0.5,1.99,1.91,0,0,D,16,13,3,5,0,0,17:00,A,2022/2023
2022-10-29,Inter,Sampdoria,1.25,6.0,12.0,1.53,2.5,-1.75,1.94,1.96,2,0,H,5,13,1,6,0,0,19:45,H,2022/2023
2022-10-30,Empoli,Atalanta,4.33,3.8,1.8,1.8,2.0,0.75,1.83,2.07,0,1,A,10,13,2,1,0,0,11:30,A,2022/2023
2022-10-30,Cremonese,Udinese,4.0,3.8,1.85,1.72,2.1,0.5,2.01,1.89,0,0,D,8,9,1,0,0,0,14:00,D,2022/2023
2022-10-30,Spezia,Fiorentina,4.0,3.6,1.9,1.98,1.92,0.5,1.98,1.92,1,1,D,19,14,5,3,1,0,14:00,A,2022/2023
2022-10-30,Lazio,Salernitana,1.5,4.5,6.5,1.66,2.2,-1.0,1.75,2.05,1,0,H,10,7,3,3,0,0,17:00,A,2022/2023
2022-10-30,Torino,Milan,3.75,3.3,2.1,2.1,1.72,0.25,2.07,1.83,2,0,H,11,16,5,2,0,0,19:45,H,2022/2023
2022-10-31,Verona,Roma,4.33,3.6,1.83,1.98,1.92,0.5,2.02,1.88,1,1,D,9,9,3,1,1,0,17:30,A,2022/2023
2022-10-31,Monza,Bologna,2.2,3.3,3.4,1.97,1.93,-0.25,1.91,1.99,0,0,D,13,18,4,2,0,0,19:45,A,2022/2023
2022-11-04,Udinese,Lecce,1.61,3.9,5.5,1.99,1.91,-0.75,1.84,2.06,0,1,A,12,18,2,3,0,0,19:45,D,2022/2023
2022-11-05,Empoli,Sassuolo,2.8,3.4,2.45,1.72,2.1,0.0,2.05,1.85,0,0,D,11,11,2,0,0,0,14:00,H,2022/2023
2022-11-05,Salernitana,Cremonese,2.15,3.6,3.3,2.04,1.86,-0.25,1.88,2.02,2,1,H,14,10,2,2,0,0,14:00,D,2022/2023
2022-11-05,Atalanta,Napoli,3.3,3.6,2.15,1.66,2.2,0.25,2.06,1.84,1,2,A,10,9,5,1,0,0,17:00,A,2022/2023
2022-11-05,Milan,Spezia,1.22,6.0,13.0,1.57,2.37,-1.75,1.92,1.98,1,0,H,12,13,6,4,1,0,19:45,H,2022/2023
2022-11-06,Bologna,Torino,3.0,3.1,2.5,2.3,1.61,0.25,1.76,2.15,0,1,A,14,17,3,3,0,0,11:30,H,2022/2023
2022-11-06,Monza,Verona,2.2,3.4,3.3,1.92,1.98,-0.25,1.91,1.99,0,0,D,10,10,3,1,0,1,14:00,H,2022/2023
2022-11-06,Sampdoria,Fiorentina,4.2,3.4,1.9,2.06,1.84,0.5,1.94,1.96,0,1,A,10,18,1,0,0,0,14:00,A,2022/2023
2022-11-06,Roma,Lazio,2.0,3.5,3.8,1.95,1.95,-0.5,2.03,1.87,0,1,A,18,14,2,3,0,0,17:00,A,2022/2023
2022-11-06,Juventus,Inter,3.1,3.4,2.37,1.99,1.91,0.25,1.81,2.09,0,0,D,16,13,2,2,0,0,19:45,H,2022/2023
2022-11-08,Napoli,Empoli,1.25,6.5,9.5,1.4,3.0,-1.75,1.88,2.02,0,0,D,12,16,1,6,0,1,17:30,H,2022/2023
2022-11-08,Spezia,Udinese,4.0,3.5,1.9,1.99,1.91,0.5,1.92,1.98,1,1,D,12,12,3,3,0,0,17:30,D,2022/2023
2022-11-08,Cremonese,Milan,6.0,4.2,1.55,1.72,2.1,1.0,1.92,1.98,0,0,D,16,10,4,3,0,0,19:45,D,2022/2023
2022-11-09,Lecce,Atalanta,4.75,3.5,1.8,2.06,1.84,0.75,1.85,2.05,2,1,H,11,12,1,2,0,0,17:30,H,2022/2023
2022-11-09,Sassuolo,Roma,3.4,3.6,2.1,1.83,2.07,0.25,2.07,1.83,0,0,D,11,11,5,3,0,0,17:30,D,2022/2023
2022-11-09,Fiorentina,Salernitana,1.53,4.2,6.25,1.72,2.1,-1.0,1.92,1.98,1,0,H,10,11,0,1,0,0,19:45,H,2022/2023
2022-11-09,Inter,Bologna,1.28,5.75,10.0,1.53,2.5,-1.5,1.94,1.96,3,1,H,10,11,1,5,0,0,19:45,H,2022/2023
2022-11-09,Torino,Sampdoria,1.61,3.8,5.75,2.1,1.72,-0.75,1.82,2.08,1,0,H,14,21,1,3,0,0,19:45,H,2022/2023
2022-11-10,Verona,Juventus,5.0,3.8,1.66,2.01,1.89,0.75,2.0,1.9,0,0,D,14,13,3,2,0,1,17:30,A,2022/2023
2022-11-10,Lazio,Monza,1.61,4.2,5.0,1.72,2.1,-1.0,2.05,1.85,0,0,D,15,14,2,1,0,0,19:45,H,2022/2023
2022-11-11,Empoli,Cremonese,2.5,3.4,2.8,1.97,1.93,0.0,1.82,2.08,0,0,D,9,14,1,2,0,0,19:45,H,2022/2023
2022-11-12,Napoli,Udinese,1.5,4.75,5.75,1.57,2.37,-1.25,2.07,1.83,2,0,H,12,13,2,3,0,0,14:00,H,2022/2023
2022-11-12,Sampdoria,Lecce,2.62,3.0,3.0,2.5,1.53,0.0,1.86,2.04,0,1,A,14,19,2,3,0,0,17:00,A,2022/2023
2022-11-12,Bologna,Sassuolo,2.3,3.5,3.0,1.87,2.03,-0.25,2.02,1.88,1,0,H,12,6,1,0,0,0,19:45,H,2022/2023
2022-11-13,Atalanta,Inter,3.1,3.75,2.2,1.72,2.1,0.25,1.91,1.99,1,1,D,10,11,0,3,0,0,11:30,A,2022/2023
2022-11-13,Monza,Salernitana,2.15,3.25,3.6,1.9,2.0,-0.25,1.82,2.08,2,0,H,9,11,0,2,0,1,14:00,H,2022/2023
2022-11-13,Roma,Torino,1.9,3.4,4.33,2.2,1.66,-0.5,1.95,1.95,0,0,D,13,10,3,2,0,0,14:00,D,2022/2023
2022-11-13,Verona,Spezia,2.1,3.4,3.6,1.92,1.98,-0.25,1.82,2.08,1,0,H,13,21,2,4,0,0,14:00,A,2022/2023
2022-11-13,Milan,Fiorentina,1.7,3.8,5.0,1.9,2.0,-0.75,1.93,1.97,1,1,D,13,11,1,4,0,0,17:00,H,2022/2023
2022-11-13,Juventus,Lazio,1.95,3.5,4.0,2.05,1.85,-0.5,2.0,1.9,1,0,H,10,8,2,1,0,0,19:45,H,2022/2023
2023-01-04,Salernitana,Milan,7.0,4.33,1.45,1.73,2.1,1.25,1.83,2.07,0,2,A,21,13,4,1,0,0,11:30,A,2022/2023
2023-01-04,Sassuolo,Sampdoria,1.73,3.75,4.75,1.96,1.94,-0.75,1.98,1.92,0,2,A,16,19,2,3,0,0,11:30,A,2022/2023
2023-01-04,Spezia,Atalanta,4.75,3.8,1.67,1.73,2.1,0.75,2.0,1.9,2,0,H,11,11,3,3,0,0,13:30,D,2022/2023
2023-01-04,Torino,Verona,1.83,3.4,4.5,2.07,1.83,-0.5,1.85,2.05,0,1,A,7,17,1,1,0,0,13:30,D,2022/2023
2023-01-04,Lecce,Lazio,3.6,3.3,2.05,2.3,1.62,0.25,2.08,1.82,0,1,A,16,13,3,2,0,0,15:30,H,2022/2023
2023-01-04,Roma,Bologna,1.6,3.8,5.5,2.0,1.8,-0.75,1.82,2.08,1,0,H,10,10,2,3,0,0,15:30,H,2022/2023
2023-01-04,Cremonese,Juventus,4.75,3.8,1.67,2.02,1.88,0.75,1.98,1.92,0,0,D,12,12,5,3,0,0,17:30,A,2022/2023
2023-01-04,Fiorentina,Monza,1.7,3.8,4.75,1.91,1.99,-0.75,1.92,1.98,1,0,H,11,13,1,3,0,0,17:30,D,2022/2023
2023-01-04,Inter,Napoli,2.25,3.4,3.1,1.73,2.1,-0.25,2.0,1.9,0,0,D,12,7,3,2,0,0,19:45,H,2022/2023
2023-01-04,Udinese,Empoli,1.6,4.2,5.75,1.67,2.2,-1.0,2.05,1.85,0,1,A,15,14,2,3,0,1,19:45,D,2022/2023
2023-01-07,Fiorentina,Sassuolo,1.7,3.8,5.0,1.73,2.1,-0.75,1.92,1.98,0,0,D,14,9,4,3,0,0,14:00,H,2022/2023
2023-01-07,Juventus,Udinese,1.75,3.8,4.5,2.01,1.89,-0.75,2.01,1.89,0,0,D,16,13,1,2,0,0,17:00,H,2022/2023
2023-01-07,Monza,Inter,5.75,4.33,1.55,1.67,2.2,1.0,1.96,1.94,1,2,A,14,20,0,3,0,0,19:45,D,2022/2023
2023-01-08,Salernitana,Torino,3.7,3.2,2.15,2.2,1.67,0.25,2.07,1.83,0,1,A,10,15,2,3,0,0,11:30,D,2022/2023
2023-01-08,Lazio,Empoli,1.53,4.2,6.0,1.73,2.1,-1.0,1.92,1.98,1,0,H,17,10,4,1,0,0,14:00,D,2022/2023
2023-01-08,Spezia,Lecce,2.6,3.1,2.9,2.2,1.67,0.0,1.83,2.07,0,0,D,14,15,0,1,0,0,14:00,D,2022/2023
2023-01-08,Sampdoria,Napoli,8.0,4.75,1.4,1.73,2.1,1.25,2.01,1.89,0,1,A,15,12,3,2,1,0,17:00,A,2022/2023
2023-01-08,Milan,Roma,1.83,3.6,4.33,2.09,1.81,-0.5,1.85,2.05,1,0,H,19,13,4,7,0,0,19:45,D,2022/2023
2023-01-09,Verona,Cremonese,2.05,3.3,3.8,1.94,1.96,-0.5,2.07,1.83,2,0,H,16,11,3,4,0,0,17:30,H,2022/2023
2023-01-09,Bologna,Atalanta,3.4,3.4,2.15,1.92,1.98,0.25,2.01,1.89,1,0,H,16,15,3,2,0,0,19:45,A,2022/2023
