Round,Round Name,HomeTeam,AwayTeam,UTC Time,Finished,Started,Cancelled,Awarded,Match Status,FTHG,FTAG
17,17,Sassuolo,Genoa,2023-12-22T17:30:00Z,True,True,False,False,Full-Time,1,2
17,17,Monza,Fiorentina,2023-12-22T19:45:00Z,True,True,False,False,Full-Time,0,1
17,17,Salernitana,Milan,2023-12-22T19:45:00Z,True,True,False,False,Full-Time,2,2
17,17,Frosinone,Juventus,2023-12-23T11:30:00Z,True,True,False,False,Full-Time,1,2
17,17,Bologna,Atalanta,2023-12-23T14:00:00Z,True,True,False,False,Full-Time,1,0
17,17,Torino,Udinese,2023-12-23T14:00:00Z,True,True,False,False,Full-Time,1,1
17,17,Verona,Cagliari,2023-12-23T17:00:00Z,True,True,False,False,Full-Time,2,0
17,17,Inter,Lecce,2023-12-23T17:00:00Z,True,True,False,False,Full-Time,2,0
17,17,Roma,Napoli,2023-12-23T19:45:00Z,True,True,False,False,Full-Time,2,0
18,18,Fiorentina,Torino,2023-12-29T17:30:00Z,True,True,False,False,Full-Time,1,0
18,18,Napoli,Monza,2023-12-29T17:30:00Z,True,True,False,False,Full-Time,0,0
18,18,Genoa,Inter,2023-12-29T19:45:00Z,True,True,False,False,Full-Time,1,1
18,18,Lazio,Frosinone,2023-12-29T19:45:00Z,True,True,False,False,Full-Time,3,1
18,18,Atalanta,Lecce,2023-12-30T11:30:00Z,True,True,False,False,Full-Time,1,0
18,18,Cagliari,Empoli,2023-12-30T14:00:00Z,True,True,False,False,Full-Time,0,0
18,18,Udinese,Bologna,2023-12-30T14:00:00Z,True,True,False,False,Full-Time,3,0
18,18,Milan,Sassuolo,2023-12-30T17:00:00Z,True,True,False,False,Full-Time,1,0
18,18,Verona,Salernitana,2023-12-30T17:00:00Z,True,True,False,False,Full-Time,0,1
18,18,Juventus,Roma,2023-12-30T19:45:00Z,True,True,False,False,Full-Time,1,0
19,19,Bologna,Genoa,2024-01-05T19:45:00Z,True,True,False,False,Full-Time,1,1
19,19,Inter,Verona,2024-01-06T11:30:00Z,True,True,False,False,Full-Time,2,1
19,19,Frosinone,Monza,2024-01-06T14:00:00Z,True,True,False,False,Full-Time,2,3
19,19,Lecce,Cagliari,2024-01-06T17:00:00Z,True,True,False,False,Full-Time,1,1
19,19,Sassuolo,Fiorentina,2024-01-06T19:45:00Z,True,True,False,False,Full-Time,1,0
19,19,Empoli,Milan,2024-01-07T11:30:00Z,True,True,False,False,Full-Time,0,3
19,19,Torino,Napoli,2024-01-07T14:00:00Z,True,True,False,False,Full-Time,3,0
19,19,Udinese,Lazio,2024-01-07T14:00:00Z,True,True,False,False,Full-Time,1,2
19,19,Salernitana,Juventus,2024-01-07T17:00:00Z,True,True,False,False,Full-Time,1,2
19,19,Roma,Atalanta,2024-01-07T19:45:00Z,True,True,False,False,Full-Time,1,1
20,20,Genoa,Torino,2024-01-13T14:00:00Z,True,True,False,False,Full-Time,0,0
20,20,Napoli,Salernitana,2024-01-13T14:00:00Z,True,True,False,False,Full-Time,2,1
20,20,Verona,Empoli,2024-01-13T17:00:00Z,True,True,False,False,Full-Time,2,1
20,20,Monza,Inter,2024-01-13T19:45:00Z,True,True,False,False,Full-Time,1,5
20,20,Lazio,Lecce,2024-01-14T11:30:00Z,True,True,False,False,Full-Time,1,0
20,20,Cagliari,Bologna,2024-01-14T14:00:00Z,True,True,False,False,Full-Time,2,1
20,20,Fiorentina,Udinese,2024-01-14T17:00:00Z,True,True,False,False,Full-Time,2,2
20,20,Milan,Roma,2024-01-14T19:45:00Z,True,True,False,False,Full-Time,3,1
20,20,Atalanta,Frosinone,2024-01-15T19:45:00Z,True,True,False,False,Full-Time,5,0
20,20,Juventus,Sassuolo,2024-01-16T19:45:00Z,True,True,False,False,Full-Time,3,0
21,21,Roma,Verona,2024-01-20T17:00:00Z,True,True,False,False,Full-Time,2,1
21,21,Udinese,Milan,2024-01-20T19:45:00Z,True,True,False,False,Full-Time,2,3
21,21,Frosinone,Cagliari,2024-01-21T11:30:00Z,True,True,False,False,Full-Time,3,1
21,21,Empoli,Monza,2024-01-21T14:00:00Z,True,True,False,False,Full-Time,3,0
21,21,Salernitana,Genoa,2024-01-21T17:00:00Z,True,True,False,False,Full-Time,1,2
21,21,Lecce,Juventus,2024-01-21T19:45:00Z,True,True,False,False,Full-Time,0,3
22,22,Cagliari,Torino,2024-01-26T19:45:00Z,True,True,False,False,Full-Time,1,2
22,22,Atalanta,Udinese,2024-01-27T14:00:00Z,True,True,False,False,Full-Time,2,0
22,22,Juventus,Empoli,2024-01-27T17:00:00Z,True,True,False,False,Full-Time,1,1
